owner,wd_time,n_sells_72h,usd_sold_72h,first_sell_time,dumped
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,2023-03-11 04:16:59.000 UTC,3,294331.3906103912,2023-03-11 05:19:59.000 UTC,1
0x7ac05d7418a1361fac8b27db963d9b33aae1e563,2023-03-11 01:17:47.000 UTC,3,292127.7157446436,2023-03-11 01:19:23.000 UTC,1
0x33415dd9c4a451e12c0493ff9795bd0586c3ec1e,2023-03-11 08:24:47.000 UTC,1,283274.3126944746,2023-03-12 23:24:47.000 UTC,1
0x5cadce51db28ab261e50743feb881a3f7aca0a69,2023-03-10 21:48:59.000 UTC,1,271058.41892631,2023-03-10 21:55:11.000 UTC,1
0xd28000131691f41622c2319a44654f71f2669242,2023-03-12 02:48:23.000 UTC,1,248417.04453799204,2023-03-13 03:23:47.000 UTC,1
0xab1fcd745a47ac783aa959bf1e2486291e5989d7,2023-03-13 00:32:47.000 UTC,1,244952.05959221887,2023-03-14 21:12:47.000 UTC,1
0xa8fec32bcbde1dcac298c79b844e2434f7533e16,2023-03-11 05:51:35.000 UTC,3,242524.04985400318,2023-03-11 06:01:47.000 UTC,1
0xc51e9817754a0d90e5fc1b84f725058fcc350228,2023-03-11 00:10:47.000 UTC,2,234961.47745,2023-03-11 20:53:11.000 UTC,1
0x58294302c4097deb040fc9dd0020042ee546d0c5,2023-03-13 17:04:11.000 UTC,1,213992.21658541347,2023-03-13 17:15:23.000 UTC,1
0xb6651e6bfe8646a62b14395479d21cfa3c8ec23d,2023-03-13 17:16:23.000 UTC,1,204677.9444482779,2023-03-13 17:19:35.000 UTC,1
0x29b05d4cfb2ec3032940b3e5af767e28b4cfcd5f,2023-03-11 04:37:59.000 UTC,5,202965.09340344972,2023-03-11 04:38:47.000 UTC,1
0x5705b71c9581208fbab754562447185b6895f3ac,2023-03-12 05:02:47.000 UTC,2,151065.2126771112,2023-03-12 05:03:11.000 UTC,1
0x27d2791842476060e16b99a9f6ce97a0797c6477,2023-03-11 06:40:11.000 UTC,1,138418.10014537518,2023-03-11 07:06:35.000 UTC,1
0xcae141802e1ea4021414c2010ba3d8a9faee072b,2023-03-11 10:54:11.000 UTC,1,138229.56576,2023-03-11 10:55:59.000 UTC,1
0x85a98f62035b39b0dcbdbb98f5bbe379a5bc4a2a,2023-03-10 20:38:23.000 UTC,1,130108.51854877744,2023-03-10 20:39:23.000 UTC,1
0x113ee41d97416d0afb2915e9c4ed6d4a4e9c299b,2023-03-12 08:47:47.000 UTC,4,127796.45172296166,2023-03-12 20:14:35.000 UTC,1
0x0da62d394cdf09986e43a8c6c3b6125c51d903cd,2023-03-12 18:39:11.000 UTC,2,127669.00919695487,2023-03-13 03:25:11.000 UTC,1
0x81db4ebee2591afbe6826d14fd5501069a10d7c7,2023-03-11 19:06:47.000 UTC,1,116007.54978215323,2023-03-13 14:20:35.000 UTC,1
0x0d42c534b0aafe7c65df3df54cfd68e2b7886f67,2023-03-10 19:05:47.000 UTC,4,104192.6629545203,2023-03-10 22:12:11.000 UTC,1
0xa768005d963da3f9b2f757cb2842cce1141b89c3,2023-03-10 22:49:59.000 UTC,2,102049.19032738921,2023-03-10 22:51:59.000 UTC,1
0x800ecfce7b082eac7c03f1fbd92f2bb00ba8fa54,2023-03-09 22:27:47.000 UTC,1,101781.69326826201,2023-03-10 22:32:47.000 UTC,1
0x001076a29493cf2ace3474bfe308688effaf12cb,2023-03-11 06:26:59.000 UTC,1,100671.09212663099,2023-03-11 06:57:47.000 UTC,1
0x389a1efe7038cec279f2557ee10a2f7a8fd1a76b,2023-03-11 18:03:23.000 UTC,1,99717.19988728571,2023-03-14 05:53:11.000 UTC,1
0x5dfd9cf035baca6fdc164bc4b91223849662e903,2023-03-13 14:23:59.000 UTC,1,99182.09747157282,2023-03-13 14:30:59.000 UTC,1
0x5658d299f18819ec9b03755a8417e312dde3c587,2023-03-11 00:28:23.000 UTC,2,93869.55841421636,2023-03-11 00:31:11.000 UTC,1
0x53241ab547a42f2e7ef722a8ab3cec37165cb743,2023-03-12 22:36:11.000 UTC,6,89352.57818778083,2023-03-12 22:36:47.000 UTC,1
