owner,market,net_usdc
0x430a35baa51ddeaccf89092a5edbda47aaae78e4,compound_v2,0.000292011
0xf42ecc446a82258aeb550e53acf9830e90afdb88,compound_v2,0.0
0x6ceb15ab614c046bca39b8610130e1a26487ec13,compound_v2,0.0
0xfafae2220433cddba9f0425ccc64a812ab0725f6,compound_v2,0.003375058464
0x3f7eea3c17616d7ba3b89251c8bc0ac634c2e4a5,compound_v2,0.0
0xf826ddfcf361dc13edc4e3cf60925344124ca89d,compound_v2,11396.195054331767
0x30b3d95e24ea00f5fb4b9bdf4f714159d9d793c2,compound_v2,0.0
0xc6a2fb3eefc210a4e249e94d66ec41314adcf003,compound_v2,0.0
0x94ca8f8d7fe3ef79dd11894b6e32d5c6fde4e3ef,compound_v2,0.0
0x56d14fcb4587b5845fa4823af790672ebf92580d,compound_v2,2.887164e-06
0xa74f2dc13f79602855deb750d80f1db73dade51a,compound_v2,0.0
0xf776c6a44a44116bc9394515db7e54e278473760,compound_v2,0.0
0x225d7280ecdb9f1f993bff2f887228974c72093a,compound_v2,0.0
0xd3e9a012de4584528dc2416a641aab9cbe75fdc6,compound_v2,0.0
0x4e8addb6cdf0f99d47d8faa794b0c0161e99f7c8,compound_v2,270.067847850624
0xd55a91277be9e915c5ab9412443137abca217af6,compound_v2,529.643780003028
0xf90119b60133512b1d9a00c0c9609bf3bd2b58de,compound_v2,144.725806564632
0xb0e8f24455b35043c660c345b54fe8e5c8282519,compound_v2,14483.959497301454
0x66e8024f201b774687e5dfca82282f666a89be6c,compound_v2,111.693735427596
0x509a054c9a4af74924cfb1060ad079254b91f6c9,compound_v2,122.371667314572
0xf36b6d092bf3655415cf5eca35da5569a5957762,compound_v2,2051.715265491408
0x0adcab16055fd9868ecd362d6ac60e4ea78b8834,compound_v2,205.501858168152
0xe9b61069e4c64962fb6bd2e0c912d922ba9b5cc9,compound_v2,208.088874835392
0x5d3e50dbadd8efa58d956bde1788807548fec213,compound_v2,326.666152621356
0x6d3ee34a020e7565e78540c74300218104c8e4a9,aave_v2,-200632.067115
0x7c132bde28ad1e0101d45121757d7c6c2e8a550a,aave_v2,-359887.56387
0x75428cf08e78d92bd12ea8fce8489212515f0d56,aave_v2,-1505.785811
0x7b37a43786bc2a8c88be58a513987edbd7ea8ad6,aave_v2,-9814.491641
0x467a6e64b6bc50095ba96b168c6b785ab90f15f1,aave_v2,-25000.002277
0x694c338c95902750d515b0d4cc35e208d67ebbdb,aave_v2,-1015.981974
0xcde0b57653e62fd54475b09f5039c10bc6a76486,aave_v2,-76850.0
0x80bb0d87dce1a94329586ce9c7d39692bbf44af6,aave_v2,-14000.4
0x17816e9a858b161c3e37016d139cf618056cacd4,aave_v2,-276.400663
0x4b324d4874e1e2a806b2305602fb181c392cf885,aave_v2,-151167.834456
0x1166e2ae5e889e8baa175203564e855e4264764b,aave_v2,-1309608.198283
0xb5de1fc3ca074870561bcb430e8b4976099b6efe,aave_v2,-3936.478115
0x7859d12f4e4c4d10a849d6ecc53015d2aa2893be,aave_v2,-2605.066722
0xb56e47150c35ba56bb54578d407f720cf26fa154,aave_v2,-5000.0
0x0bb4d344c8f4018d1398d9b5e6c0282789642c84,aave_v2,-1101.90198
0x0b3a862df43c1419ac62298b2c2deed588fb7b25,aave_v2,-6601.407886
0x619a82ea458505b0823d47ff9d347f1e7e2f2758,aave_v2,-20.0
0x1abcce04913e3dd7ba63e870433d44caa1ae87f5,aave_v2,-3976.887833
0x99dc81489b75268baad66e2eb2301371d1ce235a,aave_v2,-591.282106
0x5d3183cb8967e3c9b605dc35081e5778ee462328,aave_v2,-16162.438347
0xca89981b9bc838c2bafd43e5eecaba205c69cc2c,aave_v2,-23790.077812
0xd313db0cfa6460336bfaece4841fc73777a11a91,aave_v2,-1980.113873
0x1515769e09147f635a4bb55d2d144a2463539506,compound_v2,743134.0144739724
0x6c1a6347761bb5f7c335f3e889410d40076ad416,compound_v2,1.536948e-06
0x8915814e90022093099854babd3ea9ac67d25565,compound_v2,0.0
0x2ab13b86b8c56f97995b0b7b54ddc7fc30403a0b,compound_v2,0.0
0x35424ec4c7875c214aff05f12970c42958433027,compound_v2,0.0
0xb7128fb2180aa8d93c769ee7d261950c9acf002b,compound_v2,195.47888503744798
0x68f6828a6ec5f63fecadaf73b614720067345c5f,compound_v2,0.0
0x356fc416b4990ee25caa3ec694bd4b9dcaf8ab74,compound_v2,0.0
0x81e0fd1d7fc1334c7cd726e17d57bfd6829012bf,compound_v2,0.0
