owner,proto,tenure_days
0xf76b1ed3e35c6e7c04ab2098001bf7909fd252a3,aave_v2,266
0xedad6de580aaa4a444890ba3582f92f552efc15e,aave_v2,755
0x0c4ed497f42fbd1579f3b0ff1a38af707623b2a2,aave_v2,750
0xe8c92782e65c8beb9679b131beaa06f53d7d2154,aave_v2,669
0xa2c12dbe82f19ef06850d4693f2b2d5724b8ea3e,aave_v2,681
0x48e2028095a8140cbaf7e850a2df0678e6e31477,aave_v2,297
0xea412e9293df3818fc29272d008da8394cd6c766,aave_v2,571
0xc90889bbf64b8a9211433a20401d0a84abab2fa2,aave_v2,580
0x70a003776fd6480839b15e562bc245776b27bf42,aave_v2,647
0xba54b40d067cc606e5de349fa2bdb9b97a6a32be,aave_v2,592
0x321bbc8be5307d12846bb5960dfa2a4f65659a96,aave_v2,592
0x7ec80c17bf346c8256bbc9ca254b2f590f5d7420,aave_v2,592
0x08173a4e348186b6aad2d29c9d2455f0ada18c5c,aave_v2,592
0xbd8d745a7e6edf2f03df4e8d6905c0a2a2198f46,aave_v2,569
0xbc180c6732b31cad87703169fe0381dc3d676149,aave_v2,638
0x8cee240164033ad7e7bfae4a04939ad9b138368d,aave_v2,583
0xcaee87c5b3542ce73016b1409ec382fbab83173d,aave_v2,648
0x892506d00d1dc137b566b75c9caf3db6b9405d13,aave_v2,547
0xbad1990c2967231bc9a4fa9562ea68e65dd2b25d,aave_v2,559
0xf78d339075105c4259a09c7b60f14544e57904ac,aave_v2,422
0xb428a6ad14637fc8d1bcaf44bcc71b8ab32ff29b,aave_v2,518
0x31da18cded17dde601c8bac4f3dc553036fbc23b,aave_v2,691
0xdf19682866d1ed1ad7ff5d9a8d7c94fcfb0bd086,aave_v2,691
0x4452170774bc1e12eb52b426dc74a7ec38b8c17a,aave_v2,520
0x6d5ac8a36e47dd1ce36bd72799d572160ccd7b91,aave_v2,689
0x515491350701b46a54c666d18822fd7e3c44ebd8,aave_v2,515
0x486eb0e2fa31db1e30fc035bf8a37c304da87a23,aave_v2,512
0x9993c65221dfb6cd386545500c4c26d2a875b914,aave_v2,684
0xbde84cfe29bb818c5ec2b2b9b803a052be9f7147,aave_v2,681
0xd585d4aa8a7c56dd8ea03041bd5c2cf08a054465,aave_v2,681
0xb8b4f4b00f794da295b0194f89a69972c9ef679d,aave_v2,681
0xd4d723cea701189747c2d5582705d6ffd9474daa,aave_v2,681
0x6463660b32cf874811df2e01acf5d79df7240220,aave_v2,681
0xae54995813a4b3f3309ed351bd2d4f3dc8c7a651,aave_v2,681
0xdcef5413bc4b2b105a74d37d5ae955c7b32091fc,aave_v2,681
0xb67cc102652347da8fe4990db902e13b76577916,aave_v2,443
0xf204d452cd93e242624f13a4cfbbee112fbe3c79,aave_v2,599
