owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0xf34842d05a1c888ca02769a633df37177415c2f8,2512646336.261712,0,,0,,0
0xa2af528689e9df84ea482fbb1ab7685a9cf1e9f9,214918936.730142,553,486,0,,0
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,214081082.03054488,1344,376,1,49,307091917.634427
0x0162cd2ba40e23378bf0fd41f919e1be075f025f,208000100,0,,1,80,30000000
0x611f97d450042418e7338cbdd19202711563df01,179999935,36,84,1,126,230195705.636551
0xf8fd466f12e236f4c96f7cce6c79eadb819abf58,78317048.57956299,0,,1,10,83207322.38015398
0x87d48c565d0d85770406d248efd7dc3cbd41e729,51210496.725426,0,,1,64,40676.103729
0x05bc11f64c6515bb384b05bfd3e0d0424fa65aa4,49639264.006547004,0,,0,,0
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,49428589.59691501,1347,901,1,78,25000000
0x41b51b0b9ecdd0ee54d82798e83fd3b9562a7a3c,26896618.25849501,0,,1,117,3040644.313777
0x5e3646a1db86993f73e6b74a57d8640b69f7e259,19711989.317829005,0,,1,35,6862127.425632002
0x3c9ea5c4fec2a77e23dd82539f4414266fe8f757,16496726.888516016,429,388,0,,0
0xb8c2c0aa32a95351ffa9450509c62379a42a4f87,16324180.141126,626,1557,1,81,6003598.531299
0xa2a3cae63476891ab2d640d9a5a800755ee79d6e,15079173.575168977,0,,1,7,35113700.974004
0x09822463e7bf896df33474df5cc1babe13322062,14971693.817017,836,531,1,76,15016466.611964
0xf07766108cdb54082f7b06cad20d6adab1342d46,11581359.745826,20,217,0,,0
0x9f705ff1da72ed334f0e80f90aae5644f5cd7784,11484250.451934002,2345,313,0,,0
0x38ae45aa45434a88d75fb77a4534c648381b34c2,10581118.659045,261,478,0,,0
0x0e104e6e59f6b89a58ca01edf61c72fe1619a6c9,10377384.893605994,218,404,1,77,8000000
0x087e9c8ef2d97740340a471ff8bb49f5490f6cf6,10177140.199851003,779,470,0,,0
0x8500ea8a5d8c46304b6dd87fa4ed8fc3183023e0,9892889.216052001,14,130,0,,0
0x21c7f72012c507f9647e0fa90b3c4ab814c1e03a,8491924.80621,6,54,1,112,3500000
0x74c0992f180a3b8205e4aa130e49bb9a2e1d3732,8450270.131108,1289,1252,1,74,8541149.784559
0xb8d6471ca573c92c7096ab8600347f6a9fe268a5,8213139.098484998,0,,1,5,2161754.658657
0x65eab5ec71cec12f38829fbb14c98ce4bad28c46,7398112.27305,441,474,0,,0
0x176f3dab24a159341c0509bb36b833e7fdd0a132,6856152,28,163,0,,0
0x7940dd08b2e5fed1f83167108a68f45773d8e65b,6811680.077015996,84,408,0,,0
0x1111111254fb6c44bac0bed2854e76f90643097d,6153503.887716001,0,,0,,0
0xc6f69e100bbb34d3a18caa01d3e2e1ca76214e16,6130931.5412220005,36,43,1,61,6138756.583522
0xc90b04b27559d78ab95e56ea27119a38bcc66700,6077134.976067,4,67,0,,0
0x51346d389ec7adf11c5b96695ef003dbb849af9a,6063636.421096,1135,476,0,,0
0xbefd429cc065a1992f6543e75afd669e4b11cd7e,5792005.539681001,18,249,0,,0
0x6d1b730aa76b613ac1e52f73f0cb70c42b50331c,5189251.786392,19,841,0,,0
0xec61e3957739f01084d1b167012aaeeed367eec3,5100307.656684,25,376,0,,0
0xc00391544df5acca99656cfca6bb69559abd2876,5057341.189033,108,99,1,67,5058383.693738
0x88cfaab4ecba22a4047ff78213dd745856e436ac,5050000,0,,1,103,5399537.429563
0xf0363a1b529324d96caac6bbd23b7ef069533a86,5000000,57,300,0,,0
0x66fbe538cbecb202778ceca8d66b041c0e05694e,4235141.195569,2,108,0,,0
0xa94ca3837fa92d3223f0b651c5672299f286158d,3999530.970706,830,1803,1,15,4000211.051384
0xeebd6cc55186e3899719cb2c253113021699efaf,3994336.8660000004,15,32,0,,0
0xe140bb5f424a53e0687bfc10f6845a5672d7e242,3753654.134416,0,,1,82,266820.57104099996
0x09732c94654f77e3650424942a1e7e05181f1420,3746080.379929,1657,1790,0,,0
0xdf4559f557d9a6414ea277594f37baf40a0679bc,3606018.479729,34,268,0,,0
0x306e9499f6233e349093730076de15d12aacade1,3501447.4987669997,10,214,0,,0
0xcc976117861a91196f1eaf4f365fe3d535431303,3397763.574433,113,460,0,,0
0x592774c3b940fb1a43240ca555dcd72412ab6def,3300000,15,245,0,,0
0x26c7b4e29b2426ea4a4cf7204ce33175721d2d25,3227253.8,35,304,0,,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,3155388.087243,0,,1,135,142.043771
0xc54c27d2588fe79aa26758a9d25a1a03165f6ab5,3000000,3,192,1,76,2050000
0x067306591dcdc297fd757596c408f17188e2dde0,3000000,15,162,0,,0
0x17e8ca1b4798b97602895f63206afcd1fc90ca5f,2783132.880964011,0,,0,,0
0x9ab283e2b3ef9127370273e38febebda817eefa0,2781140.852001,97,533,1,78,2901378.251123
0x6b7939306af287fb7c9177ca1f0b0676ef681b12,2533704.550675,13,365,1,32,224470
0xa9328ce85c8548230e6277f662a920af89d566ac,2500000,43,460,0,,0
0x41db44d3d72baba6a681c4b5fa0196ac6a749888,2475684.7318750005,275,373,1,25,2557565.303695
0x1e5ce6f088fd0adb4fcff31cfb02a61503311be9,2151449.294955,4069,614,0,,0
0x4c9d61adb5d8b7b554fa3d1056c65daab1158963,2149759.6444590003,0,,1,7,10522.351064
