owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x8b8308e2a7b99e1c2cfe08f9a105f1def360c8b7,1999800.042057,30,115,1,51,2001156.712767
0x596a64198a8cce9c8a2f0d1076f0e3d84ff733c6,1920223.55924,15,211,0,,0
0xe98b2e58bab4cf89c8d0f96b2745886b9b3c58f1,1913676.0875620004,182,596,0,,0
0x6dca835607ccd7ff6de8a86423061c7f77208d9a,1862117.622493,30,791,0,,0
0x52e4ddae8b19d98cb878e0afaa418d9060944c35,1849973.1898280005,29,117,1,31,1853704.819369
0x977a59ad2156e580b84f53bac35a70bb9c797447,1827398.0617739998,54,590,0,,0
0x8772469eee9e2a8ab2f8d2c954df1dc317c0470a,1803007.4182469998,14,546,0,,0
0xa2dfaea03bf2140cab99e3de9f23f568c850b76a,1799997,56,395,0,,0
0x2c3b941f40bfef0d4e0711914d2eed9eb60151ff,1666454.2376,143,265,1,11,650
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,1615498.0712440044,0,,0,,0
0x0fab7f79b2c62565e1c98e457b72fe5d3bad53e5,1607417.6518019997,88,714,0,,0
0x906d31b2ee92c4bc720232112274a0e1ffb0ad6e,1541241.515503,33,525,0,,0
0x5437cccafe796f0e23d9ff92da51999547f6ca71,1531736,0,,0,,0
0x057d7f78f59fa2005e7f817749e08a06df387e51,1487333.666763,95,858,0,,0
0x49b9ec31562f6eaee39a1b0756c2049a01c25033,1482210.540413,10,255,0,,0
0x44b6370d43e359ce20fffd91b7652bcf0fa4b40a,1435966.059813,32,207,0,,0
0x5a6939604233a5ce9a8e9a88a6f2334df2b9bd7e,1400000,3,697,0,,0
0x7405d0239e249afbe2d6c81322c7f04cacb72cb0,1376912.335879,195,688,1,71,1407161.255343
0x7e5ec580faa8d6dffba066f964768f178e810ba4,1306441.952784,440,700,0,,0
0x592368d508c9eda15767c2559f41a2d75edce2b3,1292953.174459,7,68,0,,0
0xedc137dd3184a49bae6d120757f22b84d4278098,1290610.970007,3,115,1,71,1302457.715984
0x21ae47af0a66070c285421e85fb697d7c10ad0a6,1282647.877796,15,203,0,,0
0xcf50ade4a0d8764f1afa19ffe1122d2278ca0274,1269861.1009570002,1372,725,0,,0
0x13873fa4b7771f3492825b00d1c37301ff41c348,1236598.399999997,34,415,0,,0
0xe77008ebf49cf72e5bcad0aa66186883866d5f54,1222928.5018079998,323,787,0,,0
0x999edd8f9544452ab76fa94228a0e4cad9bc476b,1216573.831145,7,68,0,,0
0x341e0a109f74dbf85810991eef738aee2c5ef97d,1214203.197609,4,73,1,56,1221022.431674
0x2747363d886c7fdcc5187217f1ca493922aa4940,1208133.628676,6399,885,1,54,1109505.729546
0x50b1ba98cf117c9682048d56628b294ebbaa4ec2,1201227.290274,203,1672,1,52,1926785.156147
0xf1e633125b19211a6c63793f5d6074af0bba3925,1152519.439842,3390,1462,0,,0
0x2ba56a2415dedaaef2a54a1a6cc90d4555e0000d,1149996.8,6022,1821,0,,0
0x6de9f901ce72234736679641e5d3f97ce3a35274,1147877.6000099992,823,680,1,103,5953022.698314
0x7cd7a5a66d3cd2f13559d7f8a052fa6014e07d35,1100000,1315,915,0,,0
0xe23f87f4ee32be99802a91f60c9db734d47f63cf,1099472.3749290002,404,740,0,,0
0xb61959b37aadff714af150580559858483459b8e,1086354.823491,498,1421,0,,0
0x2a08d2692cac04b44a4aed32745a40f9a5671530,1074710.2903560004,34,18,1,90,5330000
0xc267da714ddb007bc198cb9bdb722c66e652c687,1073729.86241,5458,1592,0,,0
0xb911005251d69c832b413220530aae6c3a91f74f,1072397,155,1013,0,,0
0xf1c3d0433b1016a7918ab51cb9a49f4b3df20b72,1060254.299043,116,850,0,,0
0xa2a3cae63476891ab2d640d9a5a800755ee79d6e,1059454.656109795,0,,1,45,2917075.2498920006
0x885475c1de3415b886374034374c2b2945f55f26,1041901.884,2,57,0,,0
0xe6def528984b6fbfa9ab694dce02af120416890f,1028838.0910740001,94,721,0,,0
0x558dd39055a9e1e1fb04a2f5918d96273f274fc1,1003021.43,2,55,0,,0
0x0ebe17e2d970eadb24bd58b841ad2d47a6b6db6d,1001856.596862,14,304,0,,0
0xb92ff093423fc10477aa9aa2a10a5dfaaef3f159,1001511.692427,9,150,1,77,1011856.574195
0x0e9bc9fd24bc44f62a7483d48699a7fc767c0df9,1001140.813353,12,150,1,75,1011363.950344
0x0befb7789d1dbcd8d43c8e31e2d67001d09c54fd,1000108.0558000002,282,751,0,,0
0x4855aecf5e4779156789e81f81591a4ac376e202,1000091.6,76,1786,1,58,1001305.96361
0xad0fc281ac377794fa417e76d68788a56e3040f0,1000050.5577779999,1341,778,0,,0
0xdc44cbc0fefa0529076b2aeaba05b61fe9be2a77,1000000,9,497,0,,0
0xe15e8dd950a217ced5d9ef7185aa3fccf87ce569,1000000,0,,0,,0
0x9424a0a79af0df6b726c811894d9c93b2a542f4d,999999.897571,106,504,0,,0
0x021293ff497040ae42afdef47735c4ea67d924ca,999660.6929570001,19,289,0,,0
0x152f441c4d185bd74f7f8a6cf2c3f6fefd107733,999578.4798060001,369,806,0,,0
0xd92ed87defb01a9d4b3665f54a3a7e65a7791361,997823.2742219997,11,151,1,72,1008531.191376
0x90760a276baeb7485f2472151d2befdd5f91ae44,987000,47,486,0,,0
0xab52dad9a44850bc14487f9091c42a1e815a0e03,987000,5,42,0,,0
0x86c38963e837b6c977d6e4a5a78b5836f985ff36,981419.1874200001,351,536,0,,0
0x477bfe17e580643e68c8b882cda2d62012886363,981085.373494,5,116,1,63,990161.387628
0x75520128faa11447200d99b627efc254c479fc97,980944.9521369999,851,746,0,,0
0x367b926c75892ffdd86efbbf49fe1463c2d0a4cf,970929.265148,15,698,0,,0
0x3173e4e58c204bccee2485fc12e601421fbe8ebd,947363.82071,32,831,0,,0
0x792bcdf64814022879a99f5655f22424979186c7,924107.300087,55,500,0,,0
