bal0,first_wd_hours,owner,ran,tx_sent_count,wallet_age_days
10000.0,,0x89a3c5c9880efc029984de67b81aba0fc45b44d8,0,0,
1002.628511,,0x8a9783c7f9a2a3a67120fabe46150da5082949f7,0,3,846.0
250.0,,0x8cbf64aee30736dd48a810756072f6f670dbc5f4,0,3,696.0
2800.0,,0xc51f42b3aa450c3de992f4d1ba612a9e857ec158,0,87,782.0
498.0,,0xa597382d9a5af591ed851b3d2a9c65957e7e15d6,0,2,781.0
100.0,,0xe466a20ebbcba545241d4c47c445e8c41cb41b36,0,2,1158.0
180.646412,,0x42d5f44ec3a0a220566285120bcf71b6514e701c,0,0,
1327.946628,,0x67ac765b4e099731b0eda532c19f4e801c65a207,0,7,1725.0
3070.215306,,0x985c3e701e7cd13a1ff3e099f98698e75d52b432,0,435,994.0
133229.255557,,0x34c21644cac46882871bd1546227a754214d0dec,0,1149,973.0
1151378.6649389998,,0x2e703d658f8dd21709a7b458967ab4081f8d3d05,0,0,
101.21261500000831,,0x7b3db111340eeee8ae5ebb35cf5a3eea2f6ff6f2,0,0,
100370.28367300011,,0x555187752ef6d73758862b5d364aab362c996d0e,0,3118,1918.0
80114.771528,,0xcd06cb3e89b1543a5e04d925523621f5de02ac1b,0,184,1288.0
299208.142474,61.0,0x59adafc5dd947745f0cfb07414ca36d97d49bdb4,1,173,689.0
63354476.80518806,,0x1f99aaa8b4fb631d25b38b8a9099ef8f2611e46b,0,66,688.0
993.598235,,0x78ab5bb55e0ad7d834b08933b444d7f1ac8fdee6,0,58,713.0
25834.198709,,0x14cf326b6592e310f72ae33450ec06ce852e16c9,0,28,822.0
451.835127,,0x50409605f3e3a8f4fc8ab3d5f19e946910ef7592,0,13,1088.0
990.0,,0xc9aaab70f8ec5947eaeccbb1620c96a637968386,0,21,1303.0
6000.0,,0x6463660b32cf874811df2e01acf5d79df7240220,0,0,
220.406163,,0x8a8e7c1da58081cac8e8cdcbb753dd3dce6c9208,0,4,737.0
120.18666599999999,,0x67aac6dff9117ca4412697388bad8e78ae071596,0,239,1952.0
26051.913946,,0xaebbd80fd7dae979d965a3a5b09bbcd23eb40e5f,0,683,1831.0
18068.112244999968,,0xed7f11435cc09d51739f91f9b6fca9272d795279,0,41,930.0
1000.0,,0x83d1edef58a915f349223917ab91180e2d2a79f3,0,3,1094.0
367.979247,,0x20fcff493e6d128af448aea9f526f6df1ed09e5c,0,56,934.0
3002.904945,,0x773e317538839d883dedffd6b8838e41f02812a7,0,5,799.0
2997.0,,0x2312af867481abcc22e84773d689b4b104af4b36,0,8,789.0
52448.820089,,0x5519a46d785a7f0eef277b296e9eecbcae24bab8,0,4,764.0
8790.0,,0x59594779ab8eaecaa0fb07b07c843cc25553a0cc,0,60,776.0
1903.0,,0x20c97c8ba195e174db5ef6404847a8dd92daf747,0,6,814.0
799.488011,,0x682847429bc224df0d4b1d4933618b13be0c6de0,0,6,829.0
4350.462261,,0x3a0b2bff978d3ce69caff9fdb9095bb513ea4d24,0,511,662.0
1500.0,,0x9776a4a25e08230aa132865d5fce43bc48f0eb18,0,1143,791.0
9201.386498999998,,0xa0062627174959249819f9802dcc0e0426a41891,0,0,
150.0,,0xd3c21283380a37461069edede4a47926c19d0f1c,0,407,1774.0
268.93986100004986,,0x057b8e0df4195565aa6c6f92bc281f39df3ae0b4,0,0,
140.0,,0x084392a1dfa57a128df28c253755a393368655a8,0,20,982.0
1859.279859,,0xa3b0cdac2d728f1cf5b841af2d5b4493110cb205,0,115,1148.0
2408570.15089,56.0,0xdbd0262f12f5c13f86bf593948ab7cdae75e4d77,1,52,808.0
985.079094,,0xc2cee9fc5197f0080e50302c23fa1a430e963a03,0,0,
2188.98,,0xfbdca2ef4dd44ec3bbd614a94580e7fe9696572a,0,12,794.0
500.0,,0xbbd034dd1ff6b2be1194e0a6d635f4fd7af62969,0,0,
135.270556,,0x3525831fbf9073da4f4a44d4ecd72a4919651375,0,11,734.0
116.518805,,0xe145d4d723e5033d93550e59b5d77cdb14e99f94,0,16,1042.0
115000.0,,0xe1e143d8557960c8f4cddb8f78ae1dbb60e58578,0,24,1133.0
554.145539,,0x66231d68ebff85ab09aa0b03ad355928aaa4d2f7,0,9,1115.0
3217.0,,0x628b42cf8f4b2457b5c8f87607a8ff11570fd4e5,0,220,1316.0
106445.507797,,0x4a0e06b81efd7aaf34aef567addeb5d794826c07,0,0,
1083.51033,,0xf73c408601891fe45a5f6382007ffb207cff9aed,0,0,
121.067506,,0x6c7291e8b3262efc98a686f48fe882717bd0822f,0,43,616.0
427.0,,0x9d55565d4e51c09e35a2276e0dc469e601e3ab2a,0,117,883.0
50371.219999,,0x8ccaf951c46899aa11e96435261c271c3e5ba963,0,1594,918.0
136.90215,,0x780d471b4e117ed30e6c75c286c4973f231a869a,0,13,984.0
43906885.380949005,,0xee2826453a4fd5afeb7ceffeef3ffa2320081268,0,9218,2254.0
19138.169846999997,,0xbbad1b5984bf3508b223379798e2f053993efaa7,0,283,837.0
30223.33356,,0xe7cbf26a287a73317d31f381178b01fa5c05c209,0,1843,1312.0
3476.710494,,0x66d4aa4d07210444b05164965ac6275b37af1589,0,42,1323.0
6950.519637,,0x7b309ae2bdd946339fda88b0ed6afb095567eaa4,0,0,
21830.22,,0x22e3add439202596419dc0bc768b9b1dd4abcb15,0,172,947.0
10000.0,,0xc07e8c3b678f5325cb250a1ae053e134107e77b9,0,19,705.0
2027.8405810000002,,0x6ec62454447b9adacbebbae86687707a786c8530,0,402,1558.0
173.5,,0x6b7f7b9d7a3b1a1739e0769d590774061f3b8688,0,11,1021.0
972.0,,0x78b74333cbca11008140b1d97f2bb7abd3b97d0f,0,8,653.0
125.2,,0x3990898419acc30d850bb2e1e5327a5bf3522bbc,0,18,634.0
100.0,,0x4ad27ad1fb2001966a6899de262ce5b25836d1b3,0,20,1593.0
