bal0,first_wd_hours,owner,ran,tx_sent_count,wallet_age_days
4878.984461999999,,0x420f253087044b8bcf028dd89f8fe83ba6275e84,0,2038,459.0
102.459683,,0xc924fc69f76dca8c5ea0f2e7141e4e603b277efa,0,19,42.0
1044954.7671619998,68.0,0x15819ea1edb38f30749ce899354c7f2062492502,1,0,
2000.0,,0xd3b282e9880cdcb1142830731cd83f7ac0e1043f,0,195,683.0
69517.065457,,0x84887512c5c34bf478d4b963d0aec18d7cd590b5,0,0,
166510.93224300002,86.0,0x5a0d6d0de7c74899f09d3509a429beb7d3b4b1d0,1,198,653.0
5000.0,,0x62138035b5946938894d2fbd635fe02796d788f1,0,206,677.0
2000.0,44.0,0x7e8004efca5275d505c83421dd09f8c1aa83a0d2,1,13,42.0
560664.6602099999,48.0,0x825f23921dcff36944d8b0b0ca23ac7d05fb86cb,1,122,80.0
451.446946,109.0,0xf820fe335130468169df696fe30d1d3e740a7d0a,1,132,439.0
1939.432323,,0xd7962bdf93344c6938e2d07aa3f8f9457b4b212c,0,62,511.0
40063.50359,42.0,0x989225f2f9ba272adbce6d579232c4113ee998d8,1,219,344.0
25012.349931,42.0,0x7eabd555c1b9506490962c1d2321fb7bc49e7d68,1,170,346.0
37888.96960700001,,0xe05384768cb394b8ab3227389d3e8aa3b305e88c,0,263,876.0
23106.732238999997,,0xa071b7407b1604f31ba908e8cb31df6be473c09d,0,117,111.0
2625.785909,,0xfbbab2e81379315698c4de2539ef9b70bfda97dc,0,63,908.0
200000.0,57.0,0xf748b1c7f2d6095a14329c0b2d376a019b999f32,1,0,
561734.180127,,0x58a24fa9ae8847cbcf245dd2ef7fcef205927af1,0,360,815.0
300000.0,,0xe0e20128fc53b8977264b7f7556996d2d8b103c8,0,21,181.0
247000.0,55.0,0x1f20502987a614dd455c0731abc395b38d15f3c8,1,40,70.0
121306.62943900004,40.0,0x3dc2e29297b69e7c75bbe7f2240cdd7fbce857bf,1,850,654.0
211213.36193999997,58.0,0x87aab358a861e15c43cf11717b6a89a014297458,1,120,311.0
25195.90212600003,,0xc5d13114decd9182d04334ba5e39867a7f2fb52d,0,63,93.0
30305.332335,,0xb334c11d1612231b60aee4048fc6b57c3ac91f3c,0,133,694.0
4152.58214,91.0,0x2fd55b9133b3343d52a2d38e30a43db9126b1eb4,1,143,743.0
29344.615668000002,55.0,0x3688b712bb6659d64740d55c5b000711e484c4be,1,1002,976.0
1496.325325,,0x40e5edd86325f6450ef1020df5f9d4b693f2b11f,0,75,1938.0
24202.013795,,0xd75cf6bbe2642028fad1d65c5b998aee8caef208,0,53,724.0
1559.995915,,0x8f150a25530eb8a5fd3b161d460cd0127f1259bd,0,11,203.0
2502.796464,,0xbb011bbe21ce5d1644d80476d28b08bef561f7a1,0,6,14.0
900000.0,63.0,0xc09f022c168562cad8185d0c57e8b7a7d1e71c48,1,94,149.0
1594654.970678,,0x3178490d60b5cceaa5a79fd4d9050c7405bab80c,0,21,211.0
99993.058815,,0xf8c65cf2c51862020fc21aa58a6e5256ba94838b,0,123,2403.0
100000.0,,0xb2c5a80fe77b04afbf6f8e675529bca1e4d6e8fd,0,9,16.0
58000.844683,,0x79e6f16ac5a82c60b6fccc78c2aa0d8ad0100589,0,41,575.0
1657.029163,,0xbe81ad8fd494a11ecd2fe25f2d52d731a8cbd7ee,0,30,538.0
11999.704483,136.0,0x206b89b3b84e4df5b5c130e4abf554c0c3fa88f3,1,377,98.0
100.0,,0x64c8d81720e2ed229ab31f08cf03acd827685904,0,141,966.0
255246.990038,,0xfe4adb19631c2684d6fedc354e5bd1b76bf01cba,0,26,693.0
2077270.455166,57.0,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,1,340,287.0
2424.448502,,0xda9e6eddfb4134605e5adb8037fe0c498109a3f3,0,29,327.0
68972.095187,,0x193dfb8faa47e32305762f26c4d9ba0c73175ace,0,87,724.0
6250.0,,0x4e530fc94ec37651aa8046a32c65a45d5caa65bf,0,8,7.0
30000.0,24.0,0x5c88e55a11cd6221994f5b87818217afed9aff69,1,91,340.0
800.0,,0xf4c20bfa7f5c40343526817d1342f9cf809a2bbb,0,7,456.0
3000000.0,54.0,0x163407fda1a93941358c1bfda39a868599553b6d,1,0,
6599.7005420000005,,0x236511e76f6d333486926a446a791c2326e628a7,0,2041,997.0
504330.115436,,0x59275149ee03ac34f8a94ea9063359bad5527a78,0,229,690.0
3434.758,,0x90a85bcea4c2cacc6fbc5f6d06876c50d0b82ba3,0,37,615.0
3082944.0912059997,,0xb8c2c0aa32a95351ffa9450509c62379a42a4f87,0,1022,1861.0
39246.999083999995,,0xb2bddc0901829cd53c30f33d134559d123b2f054,0,195,280.0
5698.865603,,0xb6614205126873e0468c589232f04ecdeb931bf6,0,55,388.0
5000000.0,,0x14f425e2dcdb9efabaca25a4a74f823b142e2452,0,4,18.0
19998.1,,0xb78b0cfa23adbd72acfc661f724bb05098cee2b0,0,79,513.0
1000.0,,0x4ce2610123bff1b64acaacd3c9fd95b56b56cd0f,0,47,252.0
100733.17117799999,61.0,0xa01c05663972927c1e99803929d4803f6a5fe50c,1,20,115.0
300.0,,0x3cd626b80631a11c2d70b74f4a6d02f2b6b69734,0,15,48.0
115000.0,43.0,0xcb7a5fd4ddbed62087aba629f04e51f3c0721297,1,476,507.0
50000.0,,0x11b185fca96730f61a8b50afaf9fde537d423ef6,0,11,682.0
499994.213049,84.0,0xd312818347fb054d30925488a7dcfab6e19e9421,1,73,47.0
168984.440756,48.0,0xe736600318958f3ecfbabbd3f8a9b02d582547be,1,0,
150109.36155099998,50.0,0xda57009d183ff7e2a4da0f552a801ffd440a3e23,1,563,817.0
500000.0,49.0,0xafb53315e65db1372658752134b04fe84dcb9d15,1,49,636.0
7743.357427,,0x4b5ba19d44715f747f10f17fba8210e166e2fbb7,0,109,263.0
100.0,,0x06fd5b44914dad223a4c035e394b9be7d6810e14,0,21,14.0
12061.444746,108.0,0x12b806f6a3553e71fa1fc054c997502ebb27c89e,1,3,251.0
273.85174,,0xeb6412b568f918258dd3a4fc81092eea5dee42a3,0,7,445.0
54844.875119,59.0,0xc92f5e9f408405780d0d12b9b5e596ddd968b834,1,92,336.0
399.952964,,0xc75ab7efdd1e04e7442380f1c01d28169ddbf430,0,0,
200.0,,0x838a33578d6f0a397d1180f05c37d41d84009b1f,0,21,32.0
194200.0,66.0,0xb96e1c1431da99bd97a2a3b26ef7f5e792e19157,1,132,948.0
692.545392,109.0,0x86beddbd4673d161d9505567f6e0ccc4f8362bb5,1,45,678.0
1101.26762,,0x8f6fc366428279b1da7af2992a5d56781b9235c0,0,161,987.0
324713.15157,35.0,0x9feef5f51fdb694374e3d7bb3a8330631d298bfa,1,1134,394.0
47741.069589,94.0,0x12e24898f89736427a746f6315c0ec916b7402c5,1,7,97.0
100000.0,51.0,0x11c49b061df0efa8e2addde0dbe8de43bf55a05d,1,51,523.0
5001.407297,,0xc34e6e034a7ae881fdfaa0ff977b5eb3eb769245,0,193,469.0
79141.088265,116.0,0x75086316ae15b560186878cab2aef4db6b924285,1,1459,1787.0
10077.308284,,0x5d423a535c25fd2835e40cb14748c12cbe9de564,0,26,28.0
1000.0,,0x6bcfb1f96a3d270f00deab39fd50e78096576113,0,255,1953.0
313137.524474,62.0,0x5e8a5bc1ef0c3395a26970ef92c447d72c777ab7,1,4,21.0
1142912.990662,54.0,0x298629982613bf36c48d0b31afd2fe7d1b4604dc,1,217,122.0
37800.0,38.0,0x21dbac94551aa40bcfee7d783f15d5924ea8c4bc,1,22,70.0
30000.0,,0x378e7a297d36e61cee51a1c0c6332f55cf38ae48,0,12,17.0
100.0,,0x7eb12f04effc4901d7520e4ebd62de512743feca,0,710,721.0
228184.0,46.0,0x82b999b482267e591e0d4239a0bb4b4131faf08b,1,79,403.0
200.0,,0xf3d0cb1b3db63a5f98a0ecb05d0d9f263058b7cb,0,1571,721.0
100.629217,,0x320d24bea15b5a72839d608dfc95ed85c9d8afc0,0,20,411.0
100.0,,0xcb36bbbeb8ea1900472bbd35032c3f0000ccdf2f,0,422,736.0
145922.787367,69.0,0x42bc6c2885e014cd64c6635daf28ca2964118e8d,1,34,670.0
10014.859403,,0xf8a2c6db32b73f762d0f6abc136a20b3f4ccd004,0,100,504.0
3129.511069,,0xdfc1e0240695104faaf4f8feae8ca976073429fb,0,37,640.0
100.0,,0xbd13ea41066ed16d075b86b3082b3369814a1012,0,61,697.0
29364.129677,,0x026fa2cdc914274242c0b891e33232274b23c992,0,45,252.0
20000.0,51.0,0xf4e030452b589ea280e5c037f42eb8171d789e7d,1,235,262.0
10341.134887,,0x82668085578f0ab33c2713a45edabc30eab4a5b4,0,423,1020.0
133368.346929,,0x2f46025f03ea9a0e2cf85e1f91ab980ebcc64624,0,46,30.0
500.0,,0x7636dfc88567a8c2e67a3e42ac6f39c3ca331d44,0,311,932.0
55000.0,55.0,0x9d8a91472ccf72226fd680c8416dbf8b97f1854b,1,4,124.0
115132.166031,,0x2405081fd4a22a6796d047c39d0d9f2cbe9b94c7,0,0,
2896.498065,,0x2a9fa1e2264244f847f1680a0d1003b0cf0c07e3,0,7,19.0
1304.792487,,0xa5898a3b8d63556a55019bda0193e94e9fe338ce,0,20,167.0
770.571557,,0x341e19643681918fe64ee7427f194ce1ee5224bf,0,234,749.0
147048.013079,,0x93c1854b88edb4934e44f65bd2d7a67275c45a11,0,27,99.0
173901.293147,,0x2bc0be2fe0869e22c3cdba50f04a3c0ea34341ab,0,678,1051.0
300469.865641,65.0,0x47b0d34bc548d5eaae8676086a71f42c1dfbba7c,1,0,
1000000.0,,0x30485556753a449321d950cf8a4e7b6c1d3ce0aa,0,35,888.0
499995.9002,107.0,0x4855aecf5e4779156789e81f81591a4ac376e202,1,76,1786.0
9725.000912,,0x734eb3d27f4eec1cc7dc83073f524b96301e853b,0,34,319.0
6407.447555,,0x23fb896e3c5f29d303282a8ab39209be3bb6541e,0,1844,1918.0
3001.0,129.0,0x8b718f1eabcb179544921c75fb1d54371dc51c48,1,15,812.0
3020.980338,,0x018f4b918a24de93be4e5ffccca4e895fe7a9167,0,376,610.0
977.233186,,0xdb19c47e87ed3ff37425a99b9dee1f4920f755b9,0,430,888.0
5000.224551,,0xa7a62d5fc2fb13aa2e4f66344686654dbc94fb93,0,13,212.0
96063.952502,51.0,0x96bff4e808bfbdb6b4381460bee90d67cc33bdbe,1,408,2145.0
2100.5,,0x69d87bc770540735071a922b7d2faddc6056ab80,0,314,547.0
109.47,,0xda11e2584dfc628325a0095e631960409d50af9a,0,2,23.0
1003.275691,,0x67a305fb259dfd453405ec4d0aa673fe016b107a,0,268,276.0
200000.0,49.0,0x234dfbd48838323c133a1b857f5ec2309e3845f6,1,440,1866.0
1500.0,,0x158deb9f418f6800c57808ebcb5506517361eefc,0,1758,1876.0
550000.0,110.0,0xb780f8b02a7dcddefd2d53c82709c389618d9503,1,6,9.0
220000.0,,0x8a2c9ed8f6b9ad09036cc0f5aacae7e6708f3d0c,0,659,122.0
16994.886579,,0x4114a86310c5209b70dddc80814748bac9e577ad,0,41,701.0
1100.0,,0x66fd1b1e8b9e49a8e3897b2803c50674799c9afd,0,691,2060.0
634428.802416,,0xdbc0e13881380a87569bb6e851e4ca0623f3fe14,0,259,463.0
962343.095969,,0x995c06b04fc53211110d02bdba73301c4990ebf0,0,414,693.0
