owner,n_sells,usd_sold,dumped
0x05c824cb84307759b21a29d95b1066a9d1c29cab,0,0,0
0x6680b1129d802df66cffe1a9f87bb21d17a0e10b,0,0,0
0xfab16db92463b6e6de74382f7686d0c18332afb8,0,0,0
0xef77628574eec93e5e49c7542af3855baf0ac8cd,0,0,0
0x113343ab5b74b0a95d9ad6383fa301c53d9a33e3,0,0,0
0x4ddce06e259a2e583a3b2425e0a135f45b323e75,0,0,0
0x060f648c33d7227d16c4f2b41bc95c5ffcc8e0cd,0,0,0
0xcd435c1b112a3a0094afe8374312124e448619c1,0,0,0
0x8bab3bf8b3a08391be581582c146c6325f4f9c1f,0,0,0
0x521d0eb9ea6ecc29e7b995abc329490b4fc234f2,0,0,0
0x587eb67c533b58ada96a9f0c12f4ad89cbb50aa8,0,0,0
0xca9c6c254aaa188247afd5ae1a94bb064491069d,0,0,0
0xd11b74293bf84566e71b211458b46bf9f0d9e29b,0,0,0
0x68573b93befe73b5e250bdbce62d57d1a60436af,0,0,0
0x5400b6458d7dc6beafd3ec27a739a534c9b5a2be,0,0,0
0x64c57a81c57feb1c3d48b7064ba725a3d5f85aee,0,0,0
0xdbc8df677530b4743b5c376d537c5f0cb5304fcc,0,0,0
0xccb03c59b60791d9535facba45045278bd58975a,0,0,0
0x5daf3d2be0eb99d1a24da3b1ff7a09e884176a4f,0,0,0
0xa56d2d0181ffe070af0319345ef80313a0809b2c,0,0,0
0x3ff6517c30bd615d0a3c51ef2460f1886625c900,0,0,0
0x90f41a3b76a01255787724f205bd9963a74b5e77,0,0,0
0xd84e6a4b74b33df26f1bc7587b185a65fc3bd23c,0,0,0
0x032c3192242aa00f681c2e76f141cb106b875574,0,0,0
0xa4e5db7566f2e24dcf2e6bd4c3bcbd88ceae35b7,0,0,0
0x31646e13617ed478cde442162644421d3cb81e94,0,0,0
0x7777215431dd8ea1f80fdefdf6f62c654e1acae1,0,0,0
0x394d8e8eb2e9b0aab7e696623a721373eb94995e,0,0,0
0x3a567303b207c6d906a8fcc380a2c307ece7051d,0,0,0
0x3ccc52cf6a3f36c43b7d3fefb3a5aaafe14907ef,0,0,0
0x663bf44246307665bebdf19bc822c11a95457a00,0,0,0
0x207a3d05eba0c0a3e0e5c94d26a6e3b432dcea02,0,0,0
0xa3aac2a3d75190da0928b5063f54a0cfd9f3d3d9,0,0,0
0xb2d8eb25644252d694d00b25f1a1d93e24dc89df,0,0,0
0x72a0298d4c377c6399cc7c33d3c960c18b8508db,0,0,0
0x0b33b964e38541cbd69ff7cd6da2f28aa982b016,0,0,0
0x4c2bb32d2df34833ac519adac38c31f1c0aa3668,0,0,0
0xde7fb8d51d9605a19a3d25cc0f3adcef9eb458cd,0,0,0
0xbeaaf2a7de5e7cbe6d9a333b2e0b2f64ea02515d,0,0,0
0xcc0d7d2c3365685c9a5991c981ad18c7621199cd,0,0,0
0x29f37db226277d3119b2ea83a087a56e05920fce,0,0,0
0xdfe7ada83bbe14125822fc719f2764a688c7ed3e,0,0,0
0x994de9ad657d0d048050ad7a89c36f520132fb16,0,0,0
0xb967688619d045b4feb7134ab9a72e66bb900f11,0,0,0
0x7f99300989244dbbcd5fbd17ee55a220b72630ea,0,0,0
0x652f979c0e1145a87fe85c168e41bb0ed5b425e5,0,0,0
0x5deb8b6f0147be8e6128cbb9a58c2ccb506ff58b,0,0,0
0x10ea6a32c6b93f698d0b14eec78a52063f4fc433,0,0,0
0xd56c94f6a8baeed43b369dc94af53449adc9f8c1,0,0,0
0x1f8626ff45be9169894b53b684ebaabaad4a17f4,0,0,0
0x7b23e38fbd0e677a1d1f72fe29a1aea9fd83ade8,0,0,0
0xabc8518249299b57a4b235d4410754832b66e06c,0,0,0
0xb4757065b2c5eea193cc393baff0d858987211fc,0,0,0
0xa3b43e80bed97bc9c70e355335067c41c67ea612,0,0,0
0xf633b7cfcb7b72ff3db3f6a9980d6bb93a3d594f,0,0,0
0x0de7f448c94d3b9214d3f510300ffc4dd0b7fec5,0,0,0
0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71,0,0,0
0x5242df4aa2c1d29e39c03fd2208c068309bf670a,0,0,0
0xec2742dd9bf090843206f51234ca457d4bc728eb,0,0,0
0x482f85259d8942247aaabc2b827381c4ab62b47e,0,0,0
0x40e3780e5bec58629ac4c5dc3bca3df2d7fd0c35,0,0,0
0xa9a856ddc554206e5ad07a40a16523204f48db8e,0,0,0
0x5f69205af146ed017fbfe7a99a1e668eb0152ba2,0,0,0
0xc069f0b320912212f3a1493ac66a4b05bc0715a2,0,0,0
0x2498bd5ce0bda6b76863777c4156770ff4a660f7,0,0,0
0x1f2f2dc6cec91d77db270c5163e1474b5908f1d8,0,0,0
0xb76e40277b79b78dfa954cbec863d0e4fd0656ca,0,0,0
