market,owner,role
compound_v2,0x8df4f82e4f132dad7091681effd98be2a62d462f,receiver
aave_v2,0xb812d0944f8f581dfaa3a93dda0d22ecef51a9cf,receiver
compound_v2,0xc950e755c466fea3ec1462a14db9642cbf20dd45,receiver
compound_v2,0x032c31e5ff47760fa00e23f2d2a513fb87b22055,receiver
compound_v2,0xf40168c261f6f76df9853169c938ff4366e083b3,receiver
compound_v2,0xd1c0cd38b254662b7b745f650e2e84172350b5d1,receiver
compound_v2,0x899bf08702fd664258474fee36b51054e0d79a16,receiver
compound_v2,0xf71eb59210eed86e727d76f434a2694238213deb,receiver
compound_v2,0xc6f700fa0b8a392752311cc99698fd1bdb516ae5,receiver
compound_v2,0xd84c78a7a3c08e6869d6c59b41786acedd9c7681,receiver
compound_v2,0x36691c4f426eb8f42f150ebde43069a31cb080ad,receiver
compound_v2,0x580b0fc90e1a971cd9852f9bbe4f2a6e543d6da2,receiver
compound_v2,0x4ae100a7886437c56bb3efc32b94fdde09cf8853,receiver
compound_v2,0xc053dbacbcf5ae415af39203a3fe17c98f069f73,receiver
compound_v2,0x00916f17b6dd3467ed3b6abcacf3d1a3a9f57002,receiver
compound_v2,0x29754d7a9f9f344327158e2d01508efa415bd558,receiver
compound_v2,0xdd4782d3a285e0a442b471a5198c7d9206f589d5,receiver
compound_v2,0x9f9902254d349b554119c5f92f087583b66dfa2a,receiver
compound_v2,0xf564dd1470bd322ff8b1259a353c83436b22ffa2,receiver
aave_v2,0xcf0d963a86eaa27ed2fb27f9d24649390b50bfb9,receiver
compound_v2,0xd1bddb6bebb123541b827765b84d705b108aec05,receiver
compound_v2,0x941da3d6759147736456cee36647213183079337,receiver
compound_v2,0x79e04da06f3c23630a3df575209501388646301e,receiver
compound_v2,0x61f6f783f2cd619c1a25538cb6ae2ce71e220b37,receiver
compound_v2,0x7188679dce5ff1809283da0aa3cce66d9bbdff79,receiver
compound_v2,0xe74c9ceeeb4143a8cee3c9cbb9ce2fd1acd1fe82,receiver
compound_v2,0x6e5aa480ff8f75fd72a390b475402eeea504a3dd,receiver
compound_v2,0x209d9c1c8e35e84d3d70132516689b8a1a49ec72,receiver
compound_v2,0xb1f72d694711fce55c62ea97bd3739ff11cef986,receiver
aave_v2,0x35a74cf36c28e10100b68a3d75c03c3d18a3400a,receiver
compound_v2,0x62736311ad791886642ca68d06627652c92dec6c,receiver
compound_v2,0xe0b5b1dddba731771419cf087528b08f26002fe1,receiver
aave_v2,0x5b39c26d4250f44640d374179841503ef6910f9e,receiver
aave_v2,0x832c27f25329c5c1152ae2145f2441cd04bf97ff,receiver
compound_v2,0xa43ce8cc89eff3aa5593c742fc56a30ef2427cb0,receiver
compound_v2,0xa90692f467b64f0293b1789135cbb75051954213,receiver
aave_v2,0x1bcc47183112f47d7d999501c3b620a1ccf3f3d1,receiver
aave_v2,0xb57005cf8602f1750f6eb667057c9ae8ab9659fd,receiver
compound_v2,0x01afecf1540a8edc59756b1155cbc8369c4e85f2,receiver
compound_v2,0xff88a906ba913f34e030a5630e808527054f2ac4,receiver
compound_v2,0x3a97f1446a577a86cec1219f4b50f6a4272a7879,receiver
compound_v2,0x20288c00bff0a616a1ec9e7d351948f1ef77b974,receiver
compound_v2,0xc5dca91a141b71aca9d08cf7250b4a099eaba083,receiver
compound_v2,0xd45de24e0dbb1860968557da840122665fd1348c,receiver
compound_v2,0x2af4f16bbfea038d7c33d3ecb178fdf19bb6f465,receiver
compound_v2,0x09e9ff67d9d5a25fa465db6f0bede5560581f8cb,receiver
aave_v2,0x3db7a9dc8ad45443883a9cbc71c0f4f61fa21287,receiver
compound_v2,0x5897e35f3b2050f6c67303274fae0bc1ef31f2de,receiver
aave_v2,0xa4303850aa2ae3e7396f28814402d22b1615810c,receiver
compound_v2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,receiver
compound_v2,0x7b32783a53344cf1d28a7c3ebf5587e0de652afa,receiver
compound_v2,0x7d57d7abb00b2546f45119d06a7c6140526e990c,receiver
compound_v2,0x04caac16a3f131b0f2a2bdce06fedb1dcf9c24a6,receiver
compound_v2,0x5d2e8630331c9eb669b2b2cb6ba3ce3bc2d118ae,receiver
