owner,ever_borrowed,n_borrow,n_repay,net_open
0xc93501696c5941a24114df29dcae13c31650ecca,0,0,0,0
0xe8cebf87349038f78fc88b9949a1ed7161a15746,0,0,0,0
0x63f6037d3e9d51ad865056bf7792029803b6eefd,1,9,8,1
0x13c9d9b81513fe8ef119408f916b74118478cb03,1,52,57,-5
0x384870a0a6d26fd7193d65fa3822e5401f73d4bc,1,8,12,-4
0x4bfa6a78f8c1d1199915eab8d0b07733040a0f9d,1,6,9,-3
0x778b1331bcd394b8efdc1f5a13fd6e56d9f4a8ef,1,4,2,2
0x5ba37fea6eb10d44029f7364aff123fdacc528da,1,6,6,0
0xfc0a6581f754acf13702c3b68ecd5dc17d690944,1,3,1,2
0x19b9dacf25ff030cf5a6e941d3130f7845d7bda5,1,4,1,3
0x60778a441ad4cb16bda2196f856cfd1b8c9fd181,1,4,5,-1
0xdca4b420fe574dbfaf9a3c272e0eca527e490d12,0,0,0,0
0x3ae6ffe9a1c678df93ed761259ab502c4cbf8adf,1,2,0,2
0x5895dd49607b77d1a54ade2029da1a0dc7894a76,1,4,2,2
0xd4c80637f45a55b5e1afa9cd0c935395063d4523,0,0,0,0
0x48235c0ddc9a5d337c800d7f61a54f99d5c67e38,0,0,0,0
0xedfd621e4af2ecaf83872502b8cee424ab498972,1,11,0,11
0x8bb4be67d4c09eacfee1a61f2eff40dcc4d29d82,0,0,0,0
0x1659dea580b3adfb3bc689b03f718cbecfa1cea3,0,0,0,0
0xfab83bc1f8c03f388fda08bb0efb713c5026c381,0,0,0,0
0x9c50ff4d97d6258843adf8192909eb8f7313d051,1,1,0,1
0x5515254ef9cf6233586c7ec360102626c22a805f,0,0,0,0
0x5e072fa2dffc697e7387d5fc01aee863b9591812,0,0,0,0
0xa8e276c18f9c2d21774b281de2327415300b9e21,0,0,0,0
0x3b93e1b9ca252143845ddb08927b83db65f90e26,1,1,0,1
0x16ecca3e37c193d43c84d93b9f371cbf7259bf5f,1,1,2,-1
0x00ede3b3a16ca0879c2791f940fbbc6008b6b73b,1,2,2,0
0x2263f347f5690a0e5edc63ac4a1fd332e14966bd,0,0,0,0
0x7d29883c93fe4275497df5ccbe448829f028c13e,0,0,0,0
0x38b2bfc49ca07bf2ce9760a16cb573b9457ecdc7,0,0,0,0
0x1618b1dabbbd2ea5c1ff84de0cdaac2535277afe,1,1,1,0
0x3c4bc9f4eceb7becd1ae8c0b30dfad0d4d19906b,1,1,0,1
0x5abdf1bdf263963601d3cc57d14723465d9fc505,0,0,0,0
0x55a1cd90c5fb0dd3abe513f547ed8068d960d3b4,0,0,0,0
0xbf6b58dba9d75952d9ae7f1ae962d51836296a5a,0,0,0,0
0x7c80c062f356ab5721c9e9dd564d32c94eea7bbd,0,0,0,0
0xaf53caecada43ea1868d2a7c7b10e1185194d2fd,0,0,0,0
0x154b023c1271394cb7c7990dff3e1a21af0dc47f,1,14,5,9
0x1dc7136faccc3164b1958fca5b43155948badc50,0,0,0,0
0xd6fd00ca9d844cb7b26d9734f2d42e3699344f32,1,1,0,1
0x21b8e995f705910f508d35282c312582f460af54,0,0,0,0
0xf7f2115eadddfb13de4a4bfd26c56f1f698471d1,1,3,3,0
0xd737dc5ebcb2987a503f5fb8b70f17e81142b5a3,0,0,0,0
0x30ff9bb028ba7591cacd0fafb24e29bf4d34f27f,0,0,0,0
