ev_in,ev_out,market,owner,pl_out
0.0,0.0,compound_v3,0x32019dc646f386c4a06c107360854239aefb83ef,0.0
0.0,0.0,compound_v3,0xf835b9a2a3d15b4320d1e9f3fdba8487b4f546ae,0.0
0.0,0.0,compound_v3,0xb222752ffe62812ee77aa06f8f7d3afa768101e7,0.0
0.0,0.0,compound_v3,0x15beb9b52e5bbc45547902a032fd19ee52167282,0.0
0.0,0.0,compound_v3,0x2068d14ee50772dd6e89c6f64f32adad0cc936ef,0.0
0.0,0.0,compound_v3,0x9383972d18b3356b06ef839ff8e4ee4532ef9041,0.0
0.0,0.0,compound_v3,0xb81a0e6c38c3fec8a171cfe9631f60127a0c5bfd,0.0
0.0,0.0,compound_v3,0x64634403043b1ab21e57bd1f13451ae004a7ac3a,0.0
4000.0,5001.250526,compound_v3,0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,0.0
0.0,0.0,compound_v3,0xc42973b5496d6767ccfadd8612a3a12d4843a912,0.0
0.0,300223.672309,compound_v3,0xe027529a06292deff5a55a8d1c7f68d5efe8116e,0.0
0.0,23843.596919,compound_v3,0x59729c1ec6b7b2297f4d2e8aa086c2abffa75037,0.0
0.0,0.0,compound_v3,0xe9ed8695fc64fa050d1f7dcc8ad516d86e6c1233,0.0
0.0,0.0,compound_v3,0xcf1347dad4dd90fa73448d191950639c657ff0e2,0.0
0.0,0.0,compound_v3,0x7f1c6e55c5bec9a47a3a7f4c17d2d31d38ddc2aa,0.0
0.0,25976379.959734,compound_v3,0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,0.0
0.0,0.0,compound_v3,0x1efed205caede27da1135cd37a4192861a51100e,0.0
0.0,0.0,compound_v3,0x9506014744ab6952adf36a5b6fe199536611c027,0.0
0.0,1030119.269347,compound_v3,0x700a3abd3239db7a35b3b914d35f43ca65a52314,0.0
0.0,0.0,compound_v3,0x299455b3019d5a09c8a61c94cf32f464a0c92da6,0.0
0.0,4906.416512,compound_v3,0x1d787485f43f7720ebf97e2a9bb0f735fe4c404a,0.0
0.0,0.0,compound_v3,0xc3b91d7b118f8ba68734693d7077b45ecd5edb55,0.0
0.0,0.0,compound_v3,0x5c1b5e300d2937766dc8d5f99b567884e1afd8b1,0.0
0.0,0.0,compound_v3,0xc9621d15737a1fb2202dd989230f7c83a6d37354,0.0
