ts,price
2023-03-10 00:00:00.000 UTC,1.000711
2023-03-10 00:01:00.000 UTC,1.000711
2023-03-10 00:02:00.000 UTC,1.000711
2023-03-10 00:03:00.000 UTC,1.000711
2023-03-10 00:04:00.000 UTC,1.000711
2023-03-10 00:05:00.000 UTC,1.000772
2023-03-10 00:06:00.000 UTC,1.000772
2023-03-10 00:07:00.000 UTC,1.000772
2023-03-10 00:08:00.000 UTC,1.000772
2023-03-10 00:09:00.000 UTC,1.000772
2023-03-10 00:10:00.000 UTC,1.000844
2023-03-10 00:11:00.000 UTC,1.000844
2023-03-10 00:12:00.000 UTC,1.000844
2023-03-10 00:13:00.000 UTC,1.000844
2023-03-10 00:14:00.000 UTC,1.000844
2023-03-10 00:15:00.000 UTC,1.00078
2023-03-10 00:16:00.000 UTC,1.00078
2023-03-10 00:17:00.000 UTC,1.00078
2023-03-10 00:18:00.000 UTC,1.00078
2023-03-10 00:19:00.000 UTC,1.00078
2023-03-10 00:20:00.000 UTC,1.000432
2023-03-10 00:21:00.000 UTC,1.000432
2023-03-10 00:22:00.000 UTC,1.000432
2023-03-10 00:23:00.000 UTC,1.000432
2023-03-10 00:24:00.000 UTC,1.000432
2023-03-10 00:25:00.000 UTC,1.001839
2023-03-10 00:26:00.000 UTC,1.001839
2023-03-10 00:27:00.000 UTC,1.001839
2023-03-10 00:28:00.000 UTC,1.001839
2023-03-10 00:29:00.000 UTC,1.001839
2023-03-10 00:30:00.000 UTC,1.001672
2023-03-10 00:31:00.000 UTC,1.001672
2023-03-10 00:32:00.000 UTC,1.001672
2023-03-10 00:33:00.000 UTC,1.001672
2023-03-10 00:34:00.000 UTC,1.001672
2023-03-10 00:35:00.000 UTC,0.9998
2023-03-10 00:36:00.000 UTC,0.9998
2023-03-10 00:37:00.000 UTC,0.9998
2023-03-10 00:38:00.000 UTC,0.9998
2023-03-10 00:39:00.000 UTC,0.9998
2023-03-10 00:40:00.000 UTC,0.998966
2023-03-10 00:41:00.000 UTC,0.998966
2023-03-10 00:42:00.000 UTC,0.998966
2023-03-10 00:43:00.000 UTC,0.998966
2023-03-10 00:44:00.000 UTC,0.998966
2023-03-10 00:45:00.000 UTC,0.999275
2023-03-10 00:46:00.000 UTC,0.999275
2023-03-10 00:47:00.000 UTC,0.999275
2023-03-10 00:48:00.000 UTC,0.999275
2023-03-10 00:49:00.000 UTC,0.999275
2023-03-10 00:50:00.000 UTC,0.999962
2023-03-10 00:51:00.000 UTC,0.999962
2023-03-10 00:52:00.000 UTC,0.999962
2023-03-10 00:53:00.000 UTC,0.999962
2023-03-10 00:54:00.000 UTC,0.999962
2023-03-10 00:55:00.000 UTC,0.999926
2023-03-10 00:56:00.000 UTC,0.999926
2023-03-10 00:57:00.000 UTC,0.999926
2023-03-10 00:58:00.000 UTC,0.999926
2023-03-10 00:59:00.000 UTC,0.999926
2023-03-10 01:00:00.000 UTC,0.99978
2023-03-10 01:01:00.000 UTC,0.99978
2023-03-10 01:02:00.000 UTC,0.99978
2023-03-10 01:03:00.000 UTC,0.99978
2023-03-10 01:04:00.000 UTC,0.99978
2023-03-10 01:05:00.000 UTC,1.000057
2023-03-10 01:06:00.000 UTC,1.000057
2023-03-10 01:07:00.000 UTC,1.000057
2023-03-10 01:08:00.000 UTC,1.000057
2023-03-10 01:09:00.000 UTC,1.000057
2023-03-10 01:10:00.000 UTC,1.000647
2023-03-10 01:11:00.000 UTC,1.000647
2023-03-10 01:12:00.000 UTC,1.000647
2023-03-10 01:13:00.000 UTC,1.000647
2023-03-10 01:14:00.000 UTC,1.000647
2023-03-10 01:15:00.000 UTC,1.000661
2023-03-10 01:16:00.000 UTC,1.000661
2023-03-10 01:17:00.000 UTC,1.000661
2023-03-10 01:18:00.000 UTC,1.000661
2023-03-10 01:19:00.000 UTC,1.000661
2023-03-10 01:20:00.000 UTC,1.000642
2023-03-10 01:21:00.000 UTC,1.000642
2023-03-10 01:22:00.000 UTC,1.000642
2023-03-10 01:23:00.000 UTC,1.000642
2023-03-10 01:24:00.000 UTC,1.000642
2023-03-10 01:25:00.000 UTC,1.001626
2023-03-10 01:26:00.000 UTC,1.001626
2023-03-10 01:27:00.000 UTC,1.001626
2023-03-10 01:28:00.000 UTC,1.001626
2023-03-10 01:29:00.000 UTC,1.001626
2023-03-10 01:30:00.000 UTC,1.001184
2023-03-10 01:31:00.000 UTC,1.001184
2023-03-10 01:32:00.000 UTC,1.001184
2023-03-10 01:33:00.000 UTC,1.001184
2023-03-10 01:34:00.000 UTC,1.001184
2023-03-10 01:35:00.000 UTC,1.000753
2023-03-10 01:36:00.000 UTC,1.000753
2023-03-10 01:37:00.000 UTC,1.000753
2023-03-10 01:38:00.000 UTC,1.000753
2023-03-10 01:39:00.000 UTC,1.000753
2023-03-10 01:40:00.000 UTC,1.000637
2023-03-10 01:41:00.000 UTC,1.000637
2023-03-10 01:42:00.000 UTC,1.000637
2023-03-10 01:43:00.000 UTC,1.000637
2023-03-10 01:44:00.000 UTC,1.000637
2023-03-10 01:45:00.000 UTC,1.001021
2023-03-10 01:46:00.000 UTC,1.001021
2023-03-10 01:47:00.000 UTC,1.001021
2023-03-10 01:48:00.000 UTC,1.001021
2023-03-10 01:49:00.000 UTC,1.001021
2023-03-10 01:50:00.000 UTC,1.000664
2023-03-10 01:51:00.000 UTC,1.000664
2023-03-10 01:52:00.000 UTC,1.000664
2023-03-10 01:53:00.000 UTC,1.000664
2023-03-10 01:54:00.000 UTC,1.000664
