owner,ran_p1,ran_p2,ran_p3
0x516e5b72c3fd2d2e59835c82005ba6a2bc5788a4,0,1,0
0xaa58d64f9ca0d6436f903a4d590ad8e5982c8030,0,0,0
0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,0,0,0
0xf0cfd621c8aaa309b4dc3f2ef6e1fbe32a7fd30e,0,0,1
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,1,1,0
0xe14cedba68be35861dde3a599fba6a341b1a15af,0,0,1
0x29e3fcb9f4aad6225f359de66f3e81e643ac1dcb,1,0,0
0x12e24898f89736427a746f6315c0ec916b7402c5,0,0,1
0xddc65fac7201922395045ffdffe28d3cf6012e22,0,0,1
0x13a477fd91ca18a8d366440a5726227e0bbff4b8,0,0,0
0xc40c2bd00b1a773052c1f4b8598aef24d9d3af94,1,0,0
0xd78c609e8e232f346fe06caab29662fa469960e8,1,0,0
0x829206daae68443161d917d5fbc8856d1b7252a5,1,0,0
0x3f37f1d07ebba3ebb40e796eb6955503912409d3,1,0,0
0x5bb7a99b508ad87566f3ba2d96602adefdaad534,0,0,0
0x9ea11561bea5bb64abde6a833601296170f2828c,1,0,0
0x3a2da971984d61759a8a8518e85b9f7feb5d013b,0,0,1
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,0,1,1
0x8e140b709ad3a3213a9061926d46a67b844e5936,0,0,0
0x906b89c8b896ac490879dc1b1d4d62ff0f7cecf6,0,0,1
0x5c6b1e486611428e8e751025b788b1cc15c6686e,0,1,1
0x36af12ced40dca95f1649e59fb3a22505ad94b67,0,1,0
0x0ce7a2723f85d55d60fdf68ab3749ee85eae1001,1,0,0
0x413c89b5b16c4e3b6182efd24c484a689e6f65c3,0,1,0
0x1f2c160d7031bb0aa2c03e73cf6f90ba1a0ea142,1,0,0
0xbfb3c2cf90b17cabf40e73384e1fea5d64d83644,1,0,0
0x4334703b0b74e2045926f82f4158a103fce1df4f,0,0,1
0x3cb06e95719497cca509f55e3c09e53c8f43fd3f,0,1,0
0x3df190e424881205b81c06c5fce65f9eacfde957,0,1,0
0xfbe87d602f7d7dd511349be4acf58842392124a0,0,1,1
0x017b3763b8a034f8655d46345e3eb42555e39064,0,0,0
0x01b2e49f1f3fbf81db90fc9718672900c12dd249,0,0,0
0x603e7655b7bd063e9a413fcdfe2c5bbcd18606a3,0,0,0
0x24c5207c3dbac05629b816ce1f7db17d00b29c15,0,1,1
0x49048a4c8bd6d8035ca36caf4ab07ae14b5d9abf,0,0,0
0xaa0ca0d8c613264805850f31959e5c2be116d912,0,0,0
0x1e121993b4a8bc79d18a4c409db84c100fff25f5,0,1,0
0x9aa3f40129ff44bc64998b2fcf157aae3362870e,1,0,0
0x596a64198a8cce9c8a2f0d1076f0e3d84ff733c6,0,1,0
0x9c3c6cf9d29ab9e9e14503dbfc9ad8bb2a0e37ef,1,0,0
0x04dec43d3a1ab12c56cd2858a8abf53737882e92,1,0,0
0xa47dcc127bd2487b01477d8e381dced5de5e5033,1,0,0
0x0bb1b054a66bad88380e4452381a1b254a292e01,0,0,0
0xf591d878608e2e5c7d4f1e499330f4ab9bbae37a,0,0,1
0x19cb448123e74b07a1c04533165915dcd782d4ca,1,0,0
0x79176131ee0bfb211789679cc9c7c9f4fc6efef0,0,1,0
0xcb1b408c35b5d44614e88dc7862cc0fd792afe96,0,1,0
0x86a41488c83fde0d4b0ae9a6462d7851c30410a1,0,0,1
0x08820ebad58ff10afba20a9cb86590a7d96f2b3c,1,0,0
0xae9cba8c28f01216cf3484fceedb9056f38b0e97,1,0,0
0xce4a3cf42687c08308641969b4ecd60293ed03ff,0,1,0
